abuse,text_punct
0,RT This is complete failure of the NHS and CAMHS this is a clear example of areas that are not keeping up to date with their training or knowledge Please help us provide more awareness of
0,RT IF A RIGHTWING CULT LEADER SIGNALED THEIR INTENTION TO ENTER BRITAIN AND DISRUPT OUR CHILDRENS EDUCATION THEY WOULD BE ARRESTED DEPORTED AND BANNED FROM ENTERING THE UK WHEN ARE YOU GOING TO TAKE ACTION THE BRITISH PUBLIC HAVE HAD ENOUGH
0,RT Keep going It’s who can be the hero here Keep fighting ma’am Thank you
0,RT We The People Demand the release of the report into the MuslimRapeGangs This one is not going away as someone will leak it anyway WeThePeople
0,RT Hey I don’t think it’s beneficial to have foreign political activists coming into Britain to encourage our children to miss out on their education RT if you think Priti Patel should block Greta’s entry PS are you flying Greta
0,RT Dear This cannot be allowed to stand The Grooming gang rapesquad review MUST be made public We are counting on you Priti What is there to hide but truth
0,RT I read not in public interest as results are so monumental that vigilante gangs will be hitting the streets baying for blood The British people need to know
0,Her only followers are the BBC and extinction rebellion idiots
0,RT She’s winning the hearts of the nation 🇬🇧
0,Also ALL people entering UK at the moment should have temperature check amp questioned about where they have travelled fromTedious I know but anyone of them could have unknowingly been in contact with a carrier The only way
0,RT On a different subject how can government possibly justify not making grooming inquiry public This is now happening in my constituency k girls groomed in England last year is a epidemic this is not historic crime it’s still happening inquiry must be public or it continues
0,RT Please can the UK government start urging the public to prepare It could buy us some time covid Iran italy
0,Isnt that terrorism
0,RT I worked for when she was a backbencher she was so compassionate towards me my father was critically ill in hospital on life support She randomly sent my mum flowers which she didn’t have to do and supported me throughout Priti Patel cares for her staff HitJob
0,RT Gets my vote Go 👍👍👍👍👍
0,RT Believe it when I see it Javid said all the right things did nowt
0,
0,RT Looking after elderly relatives Looking after grandchildren But as youre so bloody inactive what thinks would be really valuable is if you could pick some apples or cauliflowers kthx
0,
0,Yeah great teach kids how to wag school and up their education 👏👏👏 What a hero you are 🙈🙈🙈
0,Well said
0,RT I strongly agree with this
0,RT Ban from the UK  she is here to cause trouble
0,Totally agree The “pressure cooker” effect full and open scrutiny and publication now might cause some issues but suppression will risk an “explosion” that nobody wants to see What seems the easy way is seldom the best 
0,Please do what’s right Society can handle the truth Without the truth how will wrongs be put right How will the same mistakes not be repeated
0,
0,Grooming gang review kept secret as Home Office claims releasing findings ‘not in public interest’ and is this true
0,Concerning Greta Thunberg isn’t a foreign national entering the UK to incite or encourage an illegal activity unlawful If it is can we expect to see this child apprehended if she does attempt to
0,RT Dont worry isnt going anywhere
0,RT Given that has explicitly said she is coming to the UK next week to Bristol to encourage children to abscond from their classes should she not be banned as this is surely against our laws
0,RT That’s great to hear I like her Compassion but with an iron fist is what we need
0,RT Hope she will be fines like all the parents who dare to want a bit of family time with their children when they can afford it
0,Mate did you think we wer only going to buy British products when we left
0,RT It’s noticeable that people talking about are annonymous I’ll put my name to this  shes one of the best people I’ve ever worked for Caring considerate and understanding And you can’t say that for many in Westminster
0,RT The Home Office ‘is not fit for purpose’ said John Reid The civil servants have power beyond their remit They don’t like Government interference if they can stitch a minister up they will Ask Amber Rudd I hope Priti wins this battle we need a strong Home Secretary
0,RT This is very serious stuff Stuart is a Potemkin PM a veneer for a farright revolutionary project encapsulated by some of the dangerous characters in his cabinet and his operation Chloe Westley Dom Cummings
0,Hope she will be fines like all the parents who dare to want a bit of family time with their children when they can afford it
0,Just because its against the law doesnt make it wrong Just because its legal doesnt make it right
0,RT Yes a big shout out for U Know that there R many on your side supporting what youre doing Stay strong amp keep those civil servants in place theyve been holding the reigns for far too long They arent the elected ones you amp are so press on
0,don’t ever give in to the people who want no law or border controls Be strong amp do not weaken your current stance to appease people who use amp abuse our nation 🤞✊🇬🇧
