,text,abuse
0,RT @PaulaScottUK: This is complete failure of the NHS and CAMHS. @MattHancock @patel4witham this is a clear example of areas that are not keeping up to date with their training or knowledge! Please help us provide more awareness of @PandasPans https://t.co/qymyfbZEKS,0
1,"RT @ActionBrexit: IF A RIGHT-WING CULT LEADER SIGNALED THEIR INTENTION TO ENTER BRITAIN AND DISRUPT OUR CHILDREN'S EDUCATION, THEY WOULD BE ARRESTED, DEPORTED AND BANNED FROM ENTERING THE UK! WHEN ARE YOU GOING TO TAKE ACTION @patel4witham?? THE BRITISH PUBLIC HAVE HAD ENOUGH! https://t.co/g5thnQuR5X",0
2,"RT @KTHopkins: Keep going @NatashaFatah 

It’s @patel4witham who can be the hero here. 

Keep fighting ma’am. Thank you https://t.co/x6uxSz2sFA",0
3,"RT @GortTheAvenger: ""We The People"" Demand the release of the report into the #MuslimRapeGangs

This one is not going away @patel4witham as someone will leak it anyway.

#WeThePeople https://t.co/sboQeIAfcv",0
4,"RT @GetBrexitDone1: Hey @patel4witham, I don’t think it’s beneficial to have foreign political activists coming into Britain to encourage our children to miss out on their education. 

RT if you think Priti Patel should block Greta’s entry.

P.S. are you flying Greta? https://t.co/WQgQGNA8tV",0
5,"RT @KTHopkins: Dear @patel4witham 

This cannot be allowed to stand. The Grooming gang (rape-squad) review MUST be made public. 

We are counting on you Priti. 

What is there to hide but truth? https://t.co/QKjm2Tvqwc",0
6,"RT @LeavingTheEUSSR: I read 'not in public interest' as 'results are so monumental that vigilante gangs will be hitting the streets baying for blood'.

The British people need to know.

@patel4witham https://t.co/rrRCIK4kTX",0
7,@GrumpyOldLab @Welshdellb0y @worldofraina @GretaThunberg @patel4witham Her only followers are the BBC and extinction rebellion idiots.,0
8,RT @Upyourjunker1: She’s winning the hearts of the nation 🇬🇧 @patel4witham https://t.co/PTSGxDKbNM,0
10,"Also, ALL people entering UK at the moment should have temperature check &amp; questioned about where they have travelled from.Tedious, I know, but anyone of them could have unknowingly been in contact with a carrier. The only way.
@patel4witham @ukhomeoffice",0
11,"RT @Mariebe10098426: @ukhomeoffice @patel4witham On a different subject, how can government possibly justify not making grooming inquiry public? This is now happening in my constituency! 19k girls groomed in England last year is a epidemic, this is not historic crime, it’s still happening, inquiry must be public or it continues",0
12,RT @zozedzo: Please can the UK government start urging the public to prepare. It could buy us some time #covid19  @BBCNews @Fletch_1976 @BorisJohnson @MattHancock @PHE_uk @patel4witham @Independent @thetimes @BBCRadio4 @Telegraph @MENnewsdesk @NHSuk @lisanandy @LindsayHoyle_MP #Iran #italy https://t.co/VnLgyXPWQZ,0
13,Isn't that terrorism? @patel4witham https://t.co/eI0qgT3S8X,0
14,"RT @kane_blackwell: I worked for @patel4witham when she was a backbencher, she was so compassionate towards me, my father was critically ill in hospital on life support. She randomly sent my mum flowers which she didn’t have to do and supported me throughout. Priti Patel cares for her staff! #HitJob https://t.co/3Wn4wkEG3w",0
15,"RT @BeddoeRoger: Gets my vote.
Go @patel4witham 
👍👍👍👍👍 https://t.co/igbOTiMJB6",0
16,"RT @MarilynAshy: @BeddoeRoger @patel4witham Believe it when I see it. Javid said all the right things, did nowt.",0
17,@AnthonyMortlock @thetimes @patel4witham :),0
18,"RT @HPSarcastic: @ColonelEscargot Looking after elderly relatives.

Looking after grandchildren.

But as you're so bloody inactive what @patel4witham thinks would be really valuable is if you could pick some apples or cauliflowers kthx.",0
19,@ActionBrexit @patel4witham https://t.co/rRQj8PLv8A,0
20,@ActionBrexit @patel4witham Yeah great... teach kids how to wag school and f@@k up their education 👏👏👏 What a hero you are 🙈🙈🙈,0
21,@GrumpyOldLab @Welshdellb0y @worldofraina @GretaThunberg @patel4witham Well said,0
22,RT @Lin46222208: @patel4witham I strongly agree with this. https://t.co/zhdBv5uO0l,0
23,"RT @GrumpyOldLab: @worldofraina Ban @GretaThunberg from the UK, @patel4witham ... she is here to cause trouble",0
24,"@No1552 @JonHolb @patel4witham Totally agree. The “pressure cooker” effect; full and open scrutiny and publication now, might cause some issues, but suppression will risk an “explosion” that nobody wants to see. What seems the easy way, is seldom the best ...",0
25,@patel4witham Please do what’s right. Society can handle the truth. Without the truth how will wrongs be put right? How will the same mistakes not be repeated? https://t.co/KTv6LucWZh,0
26,@richardhuw1 @MarcMiller23 @ugrifter @patel4witham https://t.co/45UbKxOra1,0
27,"Grooming gang review kept secret as Home Office claims releasing findings ‘not in public interest’

⁦@lucyallan⁩ and ⁦@patel4witham⁩, is this true? https://t.co/qEHvAMpxWJ",0
28,"Concerning Greta Thunberg,  isn’t a foreign national entering the UK to incite or encourage an illegal activity unlawful? If it is can we expect to see this child apprehended if she does attempt to arrive?@patel4witham @BorisJohnson https://t.co/5NV9kkgbOK",0
29,"RT @BeddoeRoger: Don't worry, @patel4witham isn't going anywhere. https://t.co/aC02yH7ldO",0
30,"RT @DVATW: Given that @GretaThunberg has explicitly said she is coming to the UK next week, to Bristol, to encourage children to abscond from their classes, should she not be banned @patel4witham as this is surely against our laws?",0
31,RT @vivjones10: @kane_blackwell @Councillorsuzie @patel4witham That’s great to hear. I like her. Compassion but with an iron fist is what we need.,0
32,RT @Tashbash1001: @DVATW @richard_bishop1 @GretaThunberg @patel4witham Hope she will be fines like all the parents who dare to want a bit of family time with their children when they can afford it.,0
33,@Lupoleejackson @ukhomeoffice @patel4witham Mate did you think we wer only going to buy British products when we left,0
35,"RT @Jamesara: It’s noticeable that people talking about @patel4witham are annonymous. I’ll put my name to this - shes one of the best people I’ve ever worked for. Caring, considerate and understanding. And you can’t say that for many in Westminster.",0
36,"RT @AnnetteVitelli3: @kane_blackwell @ajcdeane @patel4witham The Home Office ‘is not fit for purpose’ said John Reid. The civil servants have power beyond their remit. They don’t like Government interference, if they can stitch a minister up, they will. Ask Amber Rudd, I hope Priti wins this battle we need a strong Home Secretary",0
37,"RT @paulfranks: @StewartWood This is very serious stuff Stuart. @BorisJohnson is a Potemkin PM, a veneer for a far-right revolutionary project, encapsulated by some of the dangerous characters in his cabinet and his @10DowningStreet operation. @patel4witham Chloe Westley @SuellaBraverman Dom Cummings",0
38,@DVATW @richard_bishop1 @GretaThunberg @patel4witham Hope she will be fines like all the parents who dare to want a bit of family time with their children when they can afford it.,0
39,"@legallyginge @GrumpyOldLab @kashalfscouse @patel4witham Just because it's against the law doesn't make it wrong  
Just because it's legal doesn't make it right.",0
40,"RT @aley_aa: Yes, @patel4witham, a big shout out for U. Know that there R many on your side, supporting what you're doing!  Stay strong, &amp; keep those civil servants in place; they've been holding the reigns for far too long!  They aren't the elected ones, you &amp; @BorisJohnson are, so press on! https://t.co/9U3RldOuMa",0
41,@patel4witham don’t ever give in to the people who want no law or border controls. Be strong &amp; do not weaken your current stance to appease people who use &amp; abuse our nation 🤞✊🇬🇧 https://t.co/PE09nQjdMo,0
42,"RT @p_beejal: Where was the SAFE SPACE @patel4witham for the 19,000 child victims of sexual exploitation..? The grooming gang cover-up is Britain’s real racism scandal.

Government REFUSES to release grooming gangs review so ministers have ‘safe space’.

https://t.co/v0KfdqEf6x",0
43,"@steve__o__g @SkyNews @patel4witham A vulnerable 17 year old being  manipulated and used , its you that needs to ask yourself some serious questions not me Stevie baby !!",0
45,@legallyginge @kane_blackwell @patel4witham Oh dear oh dear now they have do their jobs i nearly feel sorry for them,0
46,"@jonharvey @ukhomeoffice @patel4witham They will tear it all apart again , they can agree on anything . I wasn’t being rude , just don’t want it to kick off again . See you for a pint soon 👍🏻",0
47,@The_Zenith_3 @McFlavour7 @SebDance @ukhomeoffice @patel4witham You’d have a lot more if you took better bets.,0
48,@WestminsterWAG @patel4witham Gobshite identification has nothing to do with misogyny.,0
50,"@BorisJohnson @patel4witham 
Whose money was used to produce the Grooming Gangs Review? = Answer THE TAXPAYERS.
Therefore the review is owned by the public.
GIVE US OUR REPORT NOW...",0
51,@patel4witham is this Greta Thunberg actively promoting school truancy???  Will she be arrested and prosecuted???  Why is she being allowed to come here and do this? https://t.co/DQQvV6nSZ3,0
53,@patel4witham @BorisJohnson @metpoliceuk @SadiqKhan https://t.co/1mV5DZnEiq,0
54,"@ActionBrexit @patel4witham Greta get a grip love, cuddling trees and shouting how bad we are, isn't going to solve the problems, it's not just man or his practices that are the issue, it's a living planet that will change constantly. So we hear you but your not right..",0
55,@1PJones1 @ukhomeoffice @RobDelyn @ObserverUK @patel4witham A Bot. Is it cold in Moscow today?,0
56,"@tridadofsix @JudyWeb92176381 @DeanMaisey @Jetworld @SebDance @ukhomeoffice @patel4witham With your bite size Educational tweets do you build walls as well, need to build a big one around the country, but  leave Scotland they might get back in. https://t.co/MZwfOhWXun",0
57,"RT @GortTheAvenger: ""We The People"" demand the release of the review into the  #MuslimRapeGangs 

#WeThePeople 
@patel4witham 
@BorisJohnson https://t.co/VSJsJH16h5",0
58,RT @Corky_Brexit: .@BorisJohnson @patel4witham why the cover up? Is it due to the massive ramifications that would result because some of the police &amp; councils are heavily involved somehow? You wanted to drain the swamp correct? Well this is the swamp &amp; these sub humans are part of it. Drain it. https://t.co/Yxt4JU8Rpf,0
59,"@patel4witham 

Good morning Priti

You either have a doppelganger or have taken to flying sheds for a living.

Check out the new Starling Bank TV advert",0
62,@patel4witham spreading toxicity https://t.co/fdjCTc4plK,0
63,RT @SebDance: @ukhomeoffice @patel4witham Nothing says “winning the lottery of life” more than waiting in a long queue to justify your entry whilst citizens of other European countries are given free passage.,0
64,@legallyginge @RobertWernh @ManMadeMoon @Jetworld @SebDance @ukhomeoffice @patel4witham https://t.co/RDuweWKsuG Just one eh?,0
65,@KTHopkins @patel4witham more sweeping under the carpet!,0
67,@DVATW @GretaThunberg @patel4witham 👏👏👏👍👍,0
68,@patel4witham https://t.co/JRneHHjdWp,0
69,@patel4witham do something about this POS please https://t.co/nde6cwioZO,0
